HiTemp,LowTemp,OutHum,Dew,Bar  ,Hi SolarRad. 
0.8,0.6,88.0,-0.9,1019.2,0.0
0.8,0.8,88.0,-1.0,1019.2,0.0
0.9,0.8,88.0,-0.9,1018.9,0.0
0.8,0.7,88.0,-1.1,1018.9,0.0
0.7,0.5,88.0,-1.3,1018.9,0.0
0.4,0.2,89.0,-1.4,1018.8,0.0
0.4,0.2,90.0,-1.0,1018.7,0.0
0.6,0.4,90.0,-0.8,1018.7,0.0
0.8,0.6,89.0,-1.0,1018.8,0.0
0.6,0.4,89.0,-1.2,1018.9,0.0
0.4,0.2,89.0,-1.4,1018.9,0.0
0.2,-0.1,89.0,-1.7,1019.0,0.0
-0.1,-0.1,90.0,-1.6,1019.4,0.0
-0.1,-0.1,91.0,-1.4,1019.4,0.0
-0.1,-0.1,91.0,-1.3,1019.6,0.0
-0.1,-0.4,91.0,-1.7,1019.8,0.0
-0.4,-0.6,92.0,-1.7,1019.8,0.0
-0.4,-0.6,92.0,-1.7,1020.0,0.0
-0.4,-0.6,92.0,-1.6,1020.1,0.0
-0.2,-0.4,93.0,-1.2,1020.1,0.0
-0.2,-0.2,93.0,-1.2,1020.4,0.0
-0.2,-0.4,92.0,-1.5,1020.5,0.0
-0.4,-0.6,92.0,-1.7,1020.5,0.0
-0.4,-0.6,93.0,-1.4,1020.6,0.0
-0.4,-0.6,92.0,-1.7,1020.8,0.0
-0.4,-0.6,92.0,-1.7,1020.8,0.0
-0.4,-0.6,93.0,-1.4,1021.1,9.0
-0.4,-0.4,93.0,-1.4,1021.3,19.0
-0.3,-0.4,93.0,-1.3,1021.3,35.0
0.1,-0.3,93.0,-0.9,1021.4,51.0
0.4,0.1,93.0,-0.6,1021.4,86.0
1.3,0.4,94.0,0.5,1021.4,109.0
2.3,1.3,94.0,1.5,1021.5,128.0
3.3,2.3,90.0,1.8,1021.4,134.0
4.4,3.3,83.0,1.8,1021.4,153.0
4.9,4.4,79.0,1.6,1021.6,141.0
5.5,4.9,78.0,2.0,1021.6,174.0
5.9,5.5,76.0,2.0,1021.6,123.0
6.3,5.9,76.0,2.4,1021.8,185.0
6.7,6.3,72.0,2.0,1021.8,174.0
7.3,6.7,71.0,2.4,1021.8,206.0
8.1,7.3,65.0,1.9,1021.8,229.0
8.9,8.1,64.0,2.4,1021.7,236.0
9.5,8.9,60.0,2.1,1021.7,246.0
9.8,9.5,60.0,2.4,1021.8,220.0
10.1,9.8,59.0,2.5,1021.6,297.0
10.7,10.1,59.0,3.0,1021.6,340.0
11.1,10.7,57.0,2.9,1021.5,387.0
11.6,11.1,60.0,4.1,1021.5,435.0
11.9,11.6,51.0,2.0,1021.5,384.0
12.2,11.8,50.0,1.9,1021.4,359.0
12.4,12.0,50.0,2.3,1021.3,232.0
12.9,12.3,51.0,3.0,1021.3,524.0
